6979,10325,6981
10325,6979,8171
6979,6981,8171
6981,10325,8171
8319,9588,7766
9588,8319,10542
8319,7766,10542
7766,9588,10542
4114,8378,4293
8378,4114,8380
4114,4293,8380
4293,8378,8380
227,229,395
229,227,8589
227,395,8589
395,229,8589
7322,8587,6245
8587,7322,10376
7322,6245,10376
6245,8587,10376
6963,9124,8198
9124,6963,9429
6963,8198,9429
8198,9124,9429
6346,8476,7225
8476,6346,9693
6346,7225,9693
7225,8476,9693
7789,8982,6717
8982,7789,9130
7789,6717,9130
6717,8982,9130
601,617,600
617,601,7177
601,600,7177
600,617,7177
7594,8955,6589
8955,7594,9980
7594,6589,9980
6589,8955,9980
5588,6380,6011
6380,5588,7566
5588,6011,7566
6011,6380,7566
5990,6541,5876
6541,5990,7167
5990,5876,7167
5876,6541,7167
1785,6195,1781
6195,1785,7147
1785,1781,7147
1781,6195,7147
89,85,90
85,89,5987
89,90,5987
90,85,5987
6044,7658,6625
7658,6044,7673
6044,6625,7673
6625,7658,7673
299,446,305
446,299,5918
299,305,5918
305,446,5918
790,7173,618
7173,790,8547
790,618,8547
618,7173,8547
5828,8123,6947
8123,5828,9401
5828,6947,9401
6947,8123,9401
5801,6833,6144
6833,5801,7205
5801,6144,7205
6144,6833,7205
582,6097,580
6097,582,7675
582,580,7675
580,6097,7675
6320,8431,7164
8431,6320,8432
6320,7164,8432
7164,8431,8432
5911,7265,6382
7265,5911,8524
5911,6382,8524
6382,7265,8524
215,391,223
391,215,7077
215,223,7077
223,391,7077
4280,6873,4279
6873,4280,8021
4280,4279,8021
4279,6873,8021
1517,7167,1518
7167,1517,7525
1517,1518,7525
1518,7167,7525
6917,9382,5821
9382,6917,9554
6917,5821,9554
5821,9382,9554
1298,1285,1299
1285,1298,8434
1298,1299,8434
1299,1285,8434
7784,9124,9123
9124,7784,10127
7784,9123,10127
9123,9124,10127
5636,6110,6107
6110,5636,6756
5636,6107,6756
6107,6110,6756
7558,8862,6562
8862,7558,8863
7558,6562,8863
6562,8862,8863
6958,8437,8135
8437,6958,9425
6958,8135,9425
8135,8437,9425
6322,8419,8135
8419,6322,9646
6322,8135,9646
8135,8419,9646
112,8836,336
8836,112,9919
112,336,9919
336,8836,9919
2446,2577,2449
2577,2446,7719
2446,2449,7719
2449,2577,7719
4254,6361,4066
6361,4254,7234
4254,4066,7234
4066,6361,7234
921,915,922
915,921,5705
921,922,5705
922,915,5705
3014,2994,2993
2994,3014,7443
3014,2993,7443
2993,2994,7443
7128,7405,5961
7405,7128,8369
7128,5961,8369
5961,7405,8369
5228,5359,5231
5359,5228,7084
5228,5231,7084
5231,5359,7084
6073,6694,1147
6694,6073,7671
6073,1147,7671
1147,6694,7671
2065,1852,1846
1852,2065,7997
2065,1846,7997
1846,1852,7997
6488,7353,5946
7353,6488,8713
6488,5946,8713
5946,7353,8713
2295,6830,2168
6830,2295,7957
2295,2168,7957
2168,6830,7957
2070,2198,2197
2198,2070,10583
